step,GRU,LSTM,CNN-Transformer
0,10.0,9.932150526951277,10.0
1,9.988587909753965,9.977849387041301,10.0
2,10.0,9.957056560988802,9.942787365143163
3,10.0,10.0,10.0
4,9.970310319269831,10.0,9.916179304367027
5,9.965821253729683,9.964812492609294,9.991867676548303
6,10.0,10.0,9.893071935755492
7,10.0,9.98040435008743,10.0
8,9.940598184799176,9.982096382057433,10.0
9,9.986718990645432,10.0,10.0
10,9.931941428093518,10.0,10.0
11,9.927349388101758,10.0,10.0
12,9.95825979006372,9.968071572391752,10.0
13,9.84602570149814,10.0,10.0
14,9.850974094773465,10.0,10.0
15,9.904638116910196,10.0,10.0
16,9.877645677516824,10.0,10.0
17,9.939536572396465,10.0,10.0
18,9.873962205179891,10.0,10.0
19,9.84428965691934,10.0,10.0
20,9.983730942188592,10.0,10.0
21,9.894705578086766,10.0,10.0
22,9.904918919212715,10.0,10.0
23,9.825855440920545,10.0,10.0
24,9.865426279531116,10.0,10.0
25,9.893746333930427,10.0,10.0
26,9.826207536311472,10.0,10.0
27,9.898101347776878,10.0,10.0
28,9.844845963869817,10.0,10.0
29,9.855856881101777,10.0,10.0
30,9.835922125816094,10.0,10.0
31,9.954189469991043,10.0,10.0
32,9.856471019260669,10.0,10.0
33,9.799832868068256,10.0,10.0
34,9.889420407319346,10.0,10.0
35,9.782827938487108,10.0,10.0
36,9.849892470974945,10.0,10.0
37,9.737047165132134,10.0,10.0
38,9.764204957740333,10.0,10.0
39,9.836043118491451,10.0,10.0
40,9.858711388760568,10.0,10.0
41,9.825946682330159,10.0,10.0
42,9.807188267005724,10.0,10.0
43,9.793510112442863,10.0,10.0
44,9.73023601594252,10.0,10.0
45,9.763768924320292,10.0,10.0
46,9.772330415411504,10.0,10.0
47,9.843821883330541,10.0,10.0
48,9.803752302299607,10.0,10.0
49,9.69402719249753,10.0,10.0
50,9.793993406724734,10.0,10.0
51,9.754147296670853,10.0,10.0
52,9.735169706463447,10.0,10.0
53,9.795216208961858,10.0,10.0
54,9.811801149843829,10.0,10.0
55,9.802436148936897,10.0,10.0
56,9.709534425050089,10.0,10.0
57,9.731660028522668,10.0,10.0
58,9.759311351769622,10.0,10.0
59,9.787155155126866,10.0,10.0
60,9.710051090044308,10.0,10.0
61,9.720360939771703,10.0,10.0
62,9.669963408983932,10.0,10.0
63,9.661108276879624,10.0,10.0
64,9.757185529832487,10.0,10.0
65,9.780014049910296,10.0,10.0
66,9.704246530222271,10.0,10.0
67,9.753670845977226,10.0,10.0
68,9.717225342989941,10.0,10.0
69,9.662539069448169,10.0,10.0
70,9.708518526593519,10.0,10.0
71,9.763006436393304,10.0,10.0
72,9.67997133939261,10.0,10.0
73,9.755655027857616,10.0,10.0
74,9.542097962936994,10.0,10.0
75,9.709844884706158,10.0,10.0
76,9.668768821432705,10.0,10.0
77,9.645134975135065,10.0,10.0
78,9.660344421144075,10.0,10.0
79,9.55205114018534,10.0,10.0
80,9.636121357979032,10.0,10.0
81,9.660638109178304,10.0,10.0
82,9.712356871767266,10.0,10.0
83,9.608230507159568,10.0,10.0
84,9.589403345007701,10.0,10.0
85,9.600426337509296,10.0,10.0
86,9.66697261648838,10.0,10.0
87,9.633330542301687,10.0,10.0
88,9.586097607069068,10.0,10.0
89,9.633943772498254,10.0,10.0
90,9.608831213965303,10.0,10.0
91,9.648108672674235,10.0,10.0
92,9.560275005022564,10.0,10.0
93,9.574697937799844,10.0,10.0
94,9.567181170656733,10.0,10.0
95,9.509318510787033,10.0,10.0
96,9.59301009755077,10.0,10.0
97,9.586968817361509,10.0,10.0
98,9.569885840118667,10.0,10.0
99,9.553617066559402,10.0,10.0
100,9.490296283403906,10.0,10.0
101,9.535753091912673,10.0,10.0
102,9.535372308965504,10.0,10.0
103,9.508118986198715,10.0,10.0
104,9.535895516002705,10.0,10.0
105,9.559891432342937,10.0,10.0
106,9.62972940740121,10.0,10.0
107,9.53988235967582,10.0,10.0
108,9.539766478052323,10.0,10.0
109,9.518904283932116,10.0,10.0
110,9.422427770816403,10.0,10.0
111,9.512782519261451,10.0,10.0
112,9.512863733510619,10.0,10.0
113,9.628760466080584,10.0,10.0
114,9.491728576059653,10.0,10.0
115,9.512174380594479,10.0,10.0
116,9.491113938445924,10.0,10.0
117,9.430170261716023,10.0,10.0
118,9.541502063139648,10.0,10.0
119,9.51771645395541,10.0,10.0
120,9.515432399610392,10.0,10.0
121,9.426174548425914,10.0,10.0
122,9.537548873530891,10.0,10.0
123,9.393083958515243,9.957451183945627,10.0
124,9.488288835809813,10.0,10.0
125,9.564240346611781,10.0,10.0
126,9.400964446945665,10.0,10.0
127,9.417952187225838,9.807532701125156,10.0
128,9.447027564030947,10.0,10.0
129,9.412651245652638,9.94489330824102,10.0
130,9.356073998843323,10.0,10.0
131,9.432819569576953,9.935897901522102,10.0
132,9.372062592938263,9.943663037901766,10.0
133,9.444645864238735,9.991432871425845,10.0
134,9.3707856003193,9.903054375310617,10.0
135,9.490046205795124,9.95013649544338,10.0
136,9.369181597578109,9.867669507981677,10.0
137,9.388038065121421,9.792925344279354,10.0
138,9.440615981572302,10.0,9.99023349618174
139,9.334197984639305,9.82487730336818,9.99365071278593
140,9.40291737588374,9.925625986317154,10.0
141,9.452706793446325,10.0,9.978630650883655
142,9.302782867420268,9.85982626540181,9.833114495126623
143,9.388198191280372,9.82762637293374,9.929104180063806
144,9.387772202013274,9.921533483697297,10.0
145,9.409682863531373,9.999418046879708,10.0
146,9.30455993468823,9.759360279603913,9.850665177852397
147,9.296202481469459,9.84990020915914,9.839372400422418
148,9.38414232285243,9.680248674450384,9.923573981021647
149,9.368716500192509,9.80272505711551,9.744111838007786
150,9.36221601947427,9.833980472483741,9.863533816362393
151,9.362839985280837,9.733584163339808,9.749191834179774
152,9.307344622955515,9.761809809775778,9.986519611431412
153,9.348788913457451,9.65512839904939,9.80434744067496
154,9.347662306123391,9.792084719853106,9.98700359362208
155,9.293125648668413,9.878359756104961,9.932729182350455
156,9.417968564449092,9.651481100886002,9.78080438976154
157,9.344210185429567,9.687329149803004,9.735610984081985
158,9.256794145145648,9.78825147117889,9.794741758028637
159,9.345029860149149,9.847610119679656,9.790715032092441
160,9.259313033968356,9.565493947065315,9.815647540945259
161,9.343248362440931,9.686358009522971,9.714713020102153
162,9.357673001951843,9.719988785359398,9.825444435866364
163,9.254560272767401,9.669928932991207,9.775875102168369
164,9.339616434729354,9.420937859676679,9.716356882398546
165,9.307941987058065,9.707236153859254,9.675592471923505
166,9.324263332980847,9.797602422688634,9.706763703217389
167,9.373859429173827,9.645912088649615,9.645236670529318
168,9.262611899055978,9.519751854476883,9.704337555396997
169,9.23305809017361,9.560209615015122,9.695614577326285
170,9.22213483813184,9.777220755752143,9.698880317378977
171,9.221687773239157,9.679983918924494,9.808458486183614
172,9.254492995510653,9.64180350563065,9.645833837644822
173,9.271277537803185,9.602314078801953,9.726126364104188
174,9.263928400664872,9.489493694670536,9.653517254790545
175,9.287329007309701,9.524551268089615,9.605548842003316
176,9.242497985103826,9.525887247159911,9.604603921988806
177,9.310404700481843,9.577781972635579,9.599032714009976
178,9.22037732050817,9.662939038354482,9.615799994117479
179,9.365502844448223,9.613184828937522,9.506433925469263
180,9.256664034829303,9.348801342772969,9.45579826196269
181,9.178411127287761,9.502616539475605,9.6153036912063
182,9.163614773190336,9.543462711449118,9.624836283538828
183,9.23717546613026,9.521337346556042,9.602759323022944
184,9.197773206639521,9.386291969983397,9.545727393520941
185,9.24054292338476,9.730492851122591,9.585031328313445
186,9.224403383893941,9.301346020232245,9.5711573699753
187,9.193000711202949,9.310817513283208,9.567632420951925
188,9.150205174263483,9.432690409261784,9.426510492571115
189,9.112707250399975,9.611321693592503,9.398285244323748
190,9.162030662610732,9.306451569458224,9.445842657645601
191,9.223085194599214,9.354040251895654,9.466546645411226
192,9.186880831824867,9.479029996274615,9.439718367373892
193,9.109802139462149,9.360320549458775,9.300200109869088
194,9.176663101492013,9.31958414837519,9.579465657084745
195,9.183186942988659,9.400680210596686,9.411336098440012
196,9.115647261975232,9.362578654657558,9.438743208960753
197,9.163447488825714,9.429721094001692,9.516298277556201
198,9.154594808134236,9.447317708486885,9.22108732373294
199,9.09046103392504,9.3405107365284,9.359846349346354
200,9.16142613034105,9.330772024883867,9.362057941888224
201,9.167505238033346,9.3149495278466,9.35851934026765
202,9.18954985813154,9.334545102051603,9.364095976272415
203,9.184020716681733,9.283399188908447,9.48645290899689
204,9.058382496622036,9.270230277476152,9.417424978623702
205,9.076312095780574,9.382524156550518,9.433218551672386
206,9.144894524694081,9.40720703122982,9.353536463510618
207,9.14077350222231,9.09774000376156,9.231174025961835
208,9.136780061106146,9.242565414706268,9.170273251006245
209,9.299609751194685,9.165932106500106,9.207991789128958
210,9.131465228811049,9.197114967144598,9.352993370126487
211,9.15564853763008,9.262048608059368,9.320795706958789
212,9.142521920857975,9.282501932863253,9.295659289618811
213,9.123344996016371,9.198284650796278,9.27738257118963
214,9.070967594680733,9.012282336219517,9.462382667155788
215,9.120637163081888,9.101412473567656,9.23037045863287
216,9.040007107147035,9.282050887658425,9.365369334270548
217,9.06276912301574,8.913026960919884,9.286422638005059
218,9.046305580092664,9.300667286725645,9.276706553471708
219,9.070633186228296,9.229090242970424,9.371212533509594
220,9.17824014600243,9.303816571208245,9.389772822241987
221,8.965113712075787,9.147764077587269,9.249485611153148
222,9.088761749880005,8.957093992311052,9.328656466538426
223,8.969786729069929,9.202076957067296,9.290094859031507
224,9.022801724213743,9.282505820791247,9.258035479492206
225,9.096823653825009,9.243707121718794,9.270432479437158
226,9.041569941998914,9.081355725105439,9.195898453980941
227,8.9804505288042,9.152887216794333,9.223494586353011
228,8.994556417478675,9.087710747152443,9.19877212307879
229,9.06028733320986,9.05604866805493,9.314771166073895
230,8.985776963575626,9.230693355301252,9.232681266082839
231,9.029108079612802,9.01277918234236,9.134315291499673
232,9.016555601672446,9.040727826092793,9.17829163415505
233,8.977690855409808,9.017483431049014,8.978459108493562
234,9.113463942936967,8.976837486256454,9.193274259007216
235,9.033960556833932,9.13867980040221,9.234478547854293
236,8.897007344198675,9.238564786683186,9.219409328211343
237,9.003589056649712,9.102502904368379,9.387745785258275
238,8.957180883619131,8.969191815198375,9.274559078527995
239,9.028897737111265,9.202736831193755,9.270435668323827
240,8.942657893532783,9.286487870985576,9.096170458530743
241,8.97255696403506,9.052668007810704,9.198292304467422
242,8.999555000284904,9.069010194672773,9.18856116818722
243,9.013607239848312,9.168203432611154,9.164836587983888
244,8.906320496170855,9.27879431109767,9.164159340220953
245,8.945628082699304,9.064790279115313,9.084123857372505
246,8.93462569748934,8.983891956929611,9.127525821512068
247,8.92172830956802,9.180837735700837,9.300537633009077
248,9.038691279958813,9.198356457587323,9.220387903485069
249,8.966693437845542,9.120010464192758,9.19271369711586
250,8.879427925544606,9.064724536702684,9.234390670181927
251,8.984394977196036,9.221308057749022,9.330004296088767
252,9.040641430901376,9.176196712658491,9.238929953873757
253,8.982190608919197,9.048261844510337,9.283992469532313
254,8.850634555076711,9.131915184901919,9.175391610094577
255,8.898429038864679,8.99392190563367,9.196173691347823
256,8.982025969761125,9.199953808309159,9.276711484899032
